field,value
model,MLP
model_file,Test0_Baseline.tflite
timestamp,20260812_165306
duration_s,2.266
steps,63
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.802
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,23.60325
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.422
M5_inf_p95_ms,0.689
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,28.7486
max_pos_error_in,51.7412
avg_crosstrack_in,6.0076
max_crosstrack_in,20.0000
avg_theta_error_rad,0.9860
avg_inference_ms,0.461
RMSE Cross Track,8.457
CT STD DEV,6.000
